row,col,label_pred,label_correct
1,1,che_g,empty
1,2,che_g,empty
1,3,che_g,bing_r
1,4,che_g,empty
1,5,xiang_g,empty
1,6,che_g,bing_r
1,7,che_g,empty
1,8,che_g,empty
1,9,che_g,empty
1,10,che_r,empty
2,1,shi_g,empty
2,2,empty,empty
2,3,ma_g,che_g
2,4,che_g,empty
2,5,pao_g,pao_r
2,6,xiang_g,empty
2,7,empty,empty
2,8,bing_r,empty
2,9,bing_r,empty
2,10,che_r,empty
3,1,shi_g,empty
3,2,empty,empty
3,3,empty,empty
3,4,pao_g,empty
3,5,xiang_g,empty
3,6,che_r,bing_r
3,7,bing_r,empty
3,8,bing_r,empty
3,9,empty,empty
3,10,che_r,empty
4,1,ma_g,jiang_r
4,2,bing_r,empty
4,3,bing_r,empty
4,4,che_r,shi_g
4,5,empty,empty
4,6,empty,empty
4,7,pao_r,empty
4,8,bing_r,empty
4,9,empty,empty
4,10,shi_r,empty
5,1,shi_g,empty
5,2,ma_g,shi_r
5,3,empty,empty
5,4,xiang_g,pao_r
5,5,empty,empty
5,6,che_r,bing_r
5,7,bing_r,empty
5,8,empty,empty
5,9,che_r,shi_g
5,10,che_r,empty
6,1,empty,empty
6,2,xiang_g,empty
6,3,empty,empty
6,4,pao_r,empty
6,5,empty,empty
6,6,xiang_g,empty
6,7,che_r,che_g
6,8,empty,empty
6,9,xiang_g,empty
6,10,che_r,empty
7,1,shi_g,empty
7,2,empty,empty
7,3,che_r,ma_r
7,4,pao_r,empty
7,5,empty,empty
7,6,empty,empty
7,7,che_r,xiang_g
7,8,empty,empty
7,9,che_r,pao_g
7,10,che_r,empty
8,1,shi_g,empty
8,2,empty,empty
8,3,che_r,che_r
8,4,pao_r,empty
8,5,empty,empty
8,6,pao_g,empty
8,7,empty,empty
8,8,empty,ma_r
8,9,empty,empty
8,10,ma_r,empty
9,1,che_g,empty
9,2,empty,empty
9,3,empty,empty
9,4,empty,empty
9,5,empty,empty
9,6,empty,empty
9,7,pao_g,pao_g
9,8,empty,empty
9,9,empty,empty
9,10,che_r,empty
